epoch,train_loss,val_loss,val_dice
1,1.1212570581264152,1.017690834097975,0.015748033525410907
2,0.999159669589423,1.2304875634786652,0.04031573194876947
3,0.9313693046569824,1.012904740694001,0.04417201279597441
4,0.8919029508181707,1.0148282370229407,0.11835887440141514
5,0.8590159217914742,0.8693165220613555,0.18975708692948576
6,0.8413637487109534,0.9544234998582855,0.10891652108329086
7,0.824096533841265,0.8655975761376028,0.20835708976631032
8,0.8173830168758461,1.0572461941110807,0.01574803352530772
9,0.8244450697917977,0.8372716457825008,0.23558592242806667
10,0.799625914775298,0.8074367074515876,0.2608231573749479
11,0.770628789981047,0.857651752280438,0.22270554063312778
12,0.7667466359052486,0.8791760361100746,0.18798070369313874
13,0.7497480414912313,0.9874210925552789,0.08160653570263268
14,0.7352990027897821,0.8949684772904464,0.16838386327522845
15,0.7250453055741075,0.7507786844659039,0.316996106465209
16,0.7106509755751891,0.8309664989080955,0.2573305700956114
17,0.6977404164288469,0.7485382322251327,0.3145666653835111
18,0.6823489563856908,0.6749568792778676,0.3885280212467844
19,0.667432223090189,0.6856667479192178,0.3682701860393357
20,0.6550794953334785,0.6344512386584845,0.4143027669450484
21,0.6403845807832325,0.652021549818084,0.4006410971095384
22,0.6201319444275093,0.6352884393977368,0.4311212439410162
23,0.5947961601800097,0.6701061045090984,0.39178703031239687
24,0.6003423007671723,0.7011900544166565,0.36155344204024037
25,0.5711437197988163,0.6139817467824681,0.44712964410238293
26,0.5600726416330777,0.8754038519746675,0.2538042576208416
27,0.5591468686211802,0.5735218302002103,0.4883498095269218
28,0.5623488243154151,0.5757004759443087,0.4701632751572056
29,0.5300039601230431,0.6049528990204879,0.4542330256916684
30,0.5289339176519122,0.583398572572573,0.46026888063657606
31,0.5153413545750902,0.6036644186091236,0.45522087394340743
32,0.5190754895936511,0.5610891188692859,0.49958701887219703
33,0.5134863066888286,0.5903863939713305,0.4719260952406459
34,0.4834184355152872,0.609030576672141,0.45285619072780864
35,0.4895915059981222,0.5819610657654409,0.4754654965433065
36,0.4592788922404478,0.5189825836129076,0.5235720844649512
37,0.4705569568521274,0.5234073027381747,0.5157452569581402
38,0.4508504064861902,0.5663285023114812,0.4898871691038911
39,0.47278673059954673,0.5182764509062129,0.5377838576668951
40,0.4501436387369771,0.5099179479550189,0.5446540545694482
41,0.44595528216304664,0.499752481856684,0.5400983226761362
42,0.44036740070593383,0.4990001874645864,0.5392840653770377
43,0.41579894605046047,0.4911763294944613,0.5621211583211998
44,0.43462377741843283,0.5996334977506652,0.45769928958845524
45,0.42992286405009117,0.49201729377423686,0.5615201337238567
46,0.4243914682067229,0.4748223198680427,0.5628622020668467
47,0.4074396813859443,0.5231196267867652,0.5161768796441307
48,0.3982887042309335,0.5468654714700744,0.49113763150999873
49,0.3880995943813859,0.5281593689299006,0.5118952696878553
50,0.39316232209812424,0.48094084976226326,0.5740736610769176
51,0.3821169662929489,0.4720904970262933,0.5822080538478319
52,0.38143529995290454,0.5139918543222383,0.5406657246045073
53,0.3997242958070281,0.536240386211966,0.5194802313300637
54,0.38119642893393674,0.5021471949074212,0.5514850751601461
55,0.3678221386635232,0.5117483445274549,0.5449094171813896
56,0.36958929824685766,0.5103478627646063,0.5467321187707304
57,0.370009135059221,0.4918443323589685,0.5523798693023197
58,0.40251953233936744,0.5064683150588059,0.5476606836586593
